source,source_label,season,season_label,case,case_label,aperture_diameter_mm,aperture_area_m2,mean_irradiance_kw_m2,power_w,cell_count,center_x_mm,center_y_mm,center_source
measurement,Measured,01,Winter,REF,Reference,9.069329391090696,3.6e-05,180.00201682324268,6.480072605636737,2250000,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,8.754940286133657,3.5956976e-05,180.2173660366602,6.480071505363406,2247311,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,8.45144950728801,3.5817776e-05,180.91709087752884,6.480047835622972,2238611,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,8.158479263115813,3.5587616e-05,182.08698959327057,6.4800418642413105,2224226,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,7.875664858352749,3.5265888e-05,183.7480642516612,6.480038654115886,2204118,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,7.602654239928031,3.4800448e-05,186.2035307193177,6.479966288214018,2175028,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,7.339107558721718,3.417728e-05,189.58265794781968,6.479419583826859,2136080,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,7.0846967465136474,3.339304e-05,193.964797032446,6.4770742258963505,2087065,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,6.839105107597485,3.2429824e-05,199.51765735905082,6.470322513046322,2026864,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,6.602026924551575,3.1234272e-05,206.62352303811426,6.453735320170726,1952142,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,6.3731670776756815,2.995008e-05,214.71500333621938,6.430731527120037,1871880,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,6.152240677620085,2.8578528e-05,224.01471154488237,6.402010706297344,1786158,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,5.938972710749531,2.7031135999999998e-05,235.49105106283733,6.3655906280625,1689446,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,5.733097696800761,2.5420096e-05,248.60688166201862,6.319610798109153,1588756,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,5.534359358407286,2.387328e-05,262.44922423121307,6.265523815854534,1492080,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,5.342510302080202,2.2377631999999998e-05,277.24821762149844,6.2041585865898075,1398602,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,5.157311710247739,2.0889856e-05,293.6259443397083,6.1338036951205215,1305616,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,4.978533043970379,1.946624e-05,310.94709127529416,6.052970706066781,1216640,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,4.805951755961319,1.8140736e-05,328.74342449042587,5.96364767541675,1133796,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,4.639353013555108,1.6905472e-05,347.06061974781744,5.867223589449375,1056592,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,4.478529431279649,1.5753344e-05,366.0080176291737,5.765850208470438,984584,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,4.323280812698552,1.4678272e-05,385.57034758213325,5.659506436945094,917392,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,4.173413901202602,1.3678912e-05,405.72459642560796,5.549871050741406,854932,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,4.028742139440008,1.274816e-05,426.43109875467815,5.436211875900438,796760,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.8890854370860874,1.1879808e-05,447.71906500328123,5.3188165301785,742488,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.7542699466631606,1.1068928e-05,469.6280604221904,5.198279187592875,691808,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.6241278471317453,1.0316032e-05,492.01711711644555,5.075664324721,644752,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.49849713498351,9.612991999999999e-06,514.9351149117907,4.950067140166125,600812,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.3772214225760724,8.957888e-06,538.343123632532,4.8224174070703745,559868,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.2601497434584923,8.34752e-06,562.2423392581269,4.693329171804,521720,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.147136364445187,7.778431999999999e-06,586.6346004251243,4.563097348254,486152,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,3.0380406042043453,7.249472e-06,611.3705499916753,4.43211368378925,453092,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.932726658134945,6.755904e-06,636.4493616349492,4.299790788067,422244,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.831063429314474,6.295424e-06,661.9285852775365,4.16712110204225,393464,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.7329243653068156,5.866368e-06,687.7404300622634,4.0345384512235,366648,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.6381873006272465,5.466432e-06,713.8152091678356,3.90202230148175,341652,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.5467343046683593,5.094208e-06,740.1030419424374,3.7702388370874997,318388,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.4584515348976868,4.746432e-06,766.4978702256768,3.6381300191709998,296652,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.3732290951442003,4.42368e-06,792.6947997996014,3.5066281319775,276480,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.2909608987973633,4.121472e-06,818.9919725992314,3.3754524832925,257592,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.2115445367483666,3.84096e-06,845.2155199257477,3.246439003414,240060,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.1348811499092064,3.57984e-06,871.3377859717194,3.119249859733,223740,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,2.0608753061509084,3.336448e-06,897.3398913663572,2.9939278858694998,208528,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.9894348815076779,3.10848e-06,923.2269916229154,2.8698326389199997,194280,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.9204709454991435,2.897152e-06,948.7351503526568,2.7486299383145,181072,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.8538976504278892,2.699264e-06,973.9804255004327,2.629030299258,168704,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.7896321245145257,2.515968e-06,998.7710377395499,2.5128759702795,157248,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.7275943687372128,2.344512e-06,1023.430828452147,2.399445858476,146532,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.6677071572472812,2.1839999999999998e-06,1047.8712798658426,2.288550875227,136500,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.609895941236924,2.035584e-06,1071.8229079183172,2.181785562192,127224,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.5540887561393522,1.8965119999999999e-06,1095.4269678277806,2.077490389609,118532,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.5002161320458434,1.767616e-06,1118.1112351268603,1.97639130899,110476,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.4482110072281984,1.647488e-06,1140.0856585006993,1.878277441352,102968,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.398008644658959,1.535616e-06,1161.539981422439,1.783679380112,95976,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.3495465514254394,1.430464e-06,1182.682244036201,1.691784373533,89404,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.3027644009373018,1.333312e-06,1202.974599429091,1.603940469114,83332,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.2576039578307894,1.242304e-06,1222.6395416347368,1.518889993131,77644,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.2140090054761814,1.157568e-06,1241.3617936311302,1.43696068873,72348,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.1719252759981913,1.078272e-06,1259.3349539522494,1.357905619468,67392,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.1313003827222305,1.004544e-06,1276.523420886492,1.282323943311,62784,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.0920837549624103,9.36512e-07,1292.7913368157588,1.210714600424,58532,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.054226575070142,8.732799999999999e-07,1308.3416057598938,1.1425485574779999,54580,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,1.0176817176649398,8.12928e-07,1323.6713033196052,1.076049465265,50808,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.9824036909717944,7.583359999999999e-07,1337.82342194489,1.014519662504,47396,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.9483485801921028,7.06304e-07,1351.6976066736136,0.954709426384,44144,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.9154739928376325,6.58112e-07,1365.0645785185502,0.898365379898,41132,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.8837390059595066,6.13248e-07,1377.9519766717544,0.8450262937899999,38328,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.8531041152064847,5.71328e-07,1390.3529896031703,0.794347592844,35708,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.823531185649157,5.328e-07,1402.0597237612612,0.74701742082,33300,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.8,5.02848e-07,1411.2960605272367,0.709667401444,31428,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.7949834043088089,4.96128e-07,1413.3823078600683,0.701218537634,31008,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.7674252343318895,4.62464e-07,1423.7945707946997,0.658453732388,28904,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.740822370753017,4.30912e-07,1433.5256833738674,0.617723419274,26932,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.7151416977914647,4.016e-07,1442.4595291882472,0.579291746922,25100,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.6903512476279745,3.74336e-07,1450.697317297829,0.543048230968,23396,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.6664201606105656,3.4848e-07,1458.4819524162074,0.508251790778,21780,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.6433186468398235,3.248e-07,1465.5931295874384,0.47602464849,20300,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.6210179490858274,3.02912e-07,1472.2298593915066,0.445956091168,18932,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.599490306990576,2.82176e-07,1478.6050599696644,0.417226861402,17636,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.5787089225113292,2.62976e-07,1484.5667300133855,0.390405420392,16436,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.5586479265618696,2.45312e-07,1490.0763625668535,0.365533612654,15332,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.5392823468101376,2.28352e-07,1495.3045114122056,0.34145577578999997,14272,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.5205880765921738,2.12736e-07,1500.12071796969,0.319129681058,13296,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.5025418449036548,1.98144e-07,1504.605685733608,0.298128588994,12384,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.48512118743167837,1.84896e-07,1508.6865170149706,0.27895010225,11556,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.4683044185907359,1.72224e-07,1512.6049661719621,0.260506877694,10764,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.4520706045280554,1.60256e-07,1516.3325072134585,0.243001382276,10016,-0.016000000000000014,-0.3839999999999999,encircled aperture center
measurement,Measured,01,Winter,REF,Reference,0.4363995370647237,1.49824e-07,1519.5425699353907,0.227663945998,9364,-0.016000000000000014,-0.3839999999999999,encircled aperture center
